PSO, FFA, GE, DE,
-4644.2,-2996.88,-8104.86,-4387.82,
11656.7,2074.88,49.1489,4.31607,
6.54575e+08,4.76984e+07,184012,1437.18,
-2826.35,-3594.76,-3938.62,-3877.85,
0,20.4144,1.81075,1.01397,
-21.7463,-22.9448,-26.5553,-22.7207,
74.6108,53.294, 24.4864,20.6928,
128.682,62.09 ,-38.3524,-12.9346,
257.348,202.007,62.8561,35.4903,
-7158.39,-5131.79, -13511.8,-6576.38,
-4230.41,-3891.79, -7312.75,-3734.76,
0.176216,7.20785,3.78468,7.10525,
-9.48405,-7.83811,-17.534,-9.78125,
-7.72016,-4.58494, -13.3659,-3.7302
